ltable_id,ltable_title,rtable_id,rtable_title
4072,Dr. Jekyll and Mr. Hyde,4587,Dr. Jekyll and Mr. Hyde
944,Black Dynamite,4611,Black Dynamite
2762,The Black Cauldron,4622,The Black Cauldron
1536,The Postman Always Rings Twice,4639,The Postman Always Rings Twice
2837,The Postman Always Rings Twice,4641,The Postman Always Rings Twice
3925,Postcards from the Edge,4645,Postcards from the Edge
4143,The Lost World,4649,The Lost World
915,The Lost World: Jurassic Park,4651,The Lost World: Jurassic Park
556,The Lost Weekend,4653,The Lost Weekend
56,The Hudsucker Proxy,4686,The Hudsucker Proxy
1491,Hugo,4690,Hugo
3817,Down with Love,4701,Down with Love
3838,Coma,4710,Coma
252,Lost in Translation,4769,Lost in Translation
3874,Appaloosa,4776,Appaloosa
2097,The Apostle,4777,The Apostle
244,Apollo 13,4782,Apollo 13
2502,Apocalypto,4786,Apocalypto
3215,Hudson Hawk,4788,Hudson Hawk
537,Hud,4791,Hud
4206,Down and Out in Beverly Hills,4811,Down and Out in Beverly Hills
47,Down by Law,4812,Down by Law
3079,Colossus: The Forbin Project,4819,Colossus: The Forbin Project
2040,Colors,4823,Colors
1404,The Color Purple,4831,The Color Purple
2523,Michael Collins,4850,Michael Collins
1784,Michael Clayton,4851,Michael Clayton
3354,Miami Blues,4856,Miami Blues
873,The Poseidon Adventure,4868,The Poseidon Adventure
1883,Lost Horizon,4881,Lost Horizon
1701,Lost in America,4882,Lost in America
937,Lost Highway,4886,Lost Highway
391,Apocalypse Now,4895,Apocalypse Now
279,The Apartment,4897,The Apartment
726,The Howling,4909,The Howling
1216,Howards End,4918,Howards End
1961,How to Train Your Dragon 2,4924,How to Train Your Dragon 2
1038,How to Train Your Dragon,4926,How to Train Your Dragon
1298,Doubt,4934,Doubt
1352,The Color of Money,4940,The Color of Money
1369,Metropolitan,4978,Metropolitan
919,The Lost Boys,4996,The Lost Boys
3606,Any Which Way You Can,5020,Any Which Way You Can
2823,Any Given Sunday,5024,Any Given Sunday
2475,How to Succeed in Business Without Really Trying,5026,How to Succeed in Business Without Really Trying
2401,How to Marry a Millionaire,5034,How to Marry a Millionaire
310,Double Indemnity,5050,Double Indemnity
3592,College,5056,College
1221,Collateral,5063,Collateral
2932,The Birth of a Nation,5072,The Birth of a Nation
2729,Birdy,5075,Birdy
260,The Birds,5079,The Birds
291,Metropolis,5087,Metropolis
378,Birdman or (The Unexpected Virtue of Ignorance),5090,Birdman or (The Unexpected Virtue of Ignorance)
3929,Metallica: Some Kind of Monster,5100,Metallica: Some Kind of Monster
3461,The Pope of Greenwich Village,5113,The Pope of Greenwich Village
4094,Antwone Fisher,5135,Antwone Fisher
2634,Antichrist,5144,Antichrist
3464,How to Get Ahead in Advertising,5149,How to Get Ahead in Advertising
3991,Cold Mountain,5184,Cold Mountain
2388,The Birdcage,5192,The Birdcage
3797,Bird,5199,Bird
3280,Lords of Dogtown,5238,The Lords of Dogtown
2594,Lord of War,5239,Lord of War
2007,The Lord of the Rings,5241,The Lord of the Rings
716,The Lord of the Rings: The Return of the King,5245,The Lord of the Rings: The Return of the King
1073,The Lord of the Rings: The Two Towers,5246,The Lord of the Rings: The Two Towers
485,The Lord of the Rings: The Fellowship of the Ring,5247,The Lord of the Rings: The Fellowship of the Ring
1713,How the Grinch Stole Christmas!,5264,How the Grinch Stole Christmas
3040,Dope,5285,Dope
3207,Biloxi Blues,5307,Biloxi Blues
3064,Lord of the Flies,5336,Lord of the Flies
766,Ant-Man,5352,Ant-Man
1012,How Green Was My Valley,5363,How Green Was My Valley
2164,The Doors,5373,The Doors
1526,Billy Madison,5398,Billy Madison
3641,Billy Liar,5399,Billy Liar
2062,Billy Elliot,5403,Billy Elliot
3928,Poltergeist II: The Other Side,5426,Poltergeist II: The Other Side
159,Looper,5433,Looper
1652,The Lookout,5437,The Lookout
3825,Looking for Richard,5441,Looking for Richard
2505,Another Woman,5442,Another Woman
2944,Another Year,5446,Another Year
3951,Another 48 Hrs.,5469,Another 48 Hrs.
3022,Another Earth,5471,Another Earth
1008,Don't Look Now,5496,Donâ€™t Look Now
3288,Futurama: Bender's Big Score,5505,Futurama - Bender's Big Score
2082,The Fury,5509,The Fury
979,Fury,5512,Fury
2182,Furious 7,5518,Furious 7
2312,Cocoon,5525,Cocoon
2510,Cocktail,5530,Cocktail
3894,The Messenger: The Story of Joan of Arc,5553,The Messenger: The Story of Joan of Arc
3586,The Messenger,5556,The Messenger
2255,Police Academy,5565,Police Academy
3722,Anomalisa,5590,Anomalisa
163,Annie Hall,5593,Annie Hall
4001,Annie Get Your Gun,5595,Annie Get Your Gun
4231,The House of Yes,5598,The House of Yes
643,House of Wax,5599,House of Wax
1197,Donnie Brasco,5616,Donnie Brasco
